x_value,sin x,tan x
0.0,0.0,0.0
1.0,0.8414709848078965,1.5574077246549023
2.0,0.9092974268256817,-2.185039863261519
3.0,0.1411200080598672,-0.1425465430742778
4.0,-0.7568024953079282,1.1578212823495777
5.0,-0.9589242746631385,-3.380515006246586
6.0,-0.27941549819892586,-0.29100619138474915
7.0,0.6569865987187891,0.8714479827243188
8.0,0.9893582466233818,-6.799711455220379
9.0,0.4121184852417566,-0.45231565944180985
10.0,-0.5440211108893698,0.6483608274590866
11.0,-0.9999902065507035,-225.95084645419513
12.0,-0.5365729180004349,-0.6358599286615808
13.0,0.4201670368266409,0.4630211329364896
14.0,0.9906073556948704,7.2446066160948055
15.0,0.6502878401571168,-0.8559934009085188
16.0,-0.2879033166650653,0.3006322420239034
17.0,-0.9613974918795568,3.49391564547484
18.0,-0.7509872467716762,-1.1373137123376869
19.0,0.14987720966295234,0.15158947061240008
20.0,0.9129452507276277,2.237160944224742
21.0,0.8366556385360561,-1.5274985276366035
22.0,-0.008851309290403876,0.00885165604168446
23.0,-0.8462204041751706,1.5881530833912738
24.0,-0.9055783620066238,-2.1348966977217008
25.0,-0.13235175009777303,-0.13352640702153587
26.0,0.7625584504796027,1.1787535542062797
27.0,0.956375928404503,-3.273703800428119
28.0,0.27090578830786904,-0.28142960456426525
29.0,-0.6636338842129675,0.8871428437982151
30.0,-0.9880316240928618,-6.405331196646276
31.0,-0.404037645323065,-0.441695568020698
32.0,0.5514266812416906,0.6610060414837631
33.0,0.9999118601072672,-75.31301480008509
34.0,0.5290826861200238,-0.6234989627162255
35.0,-0.428182669496151,0.47381472041445105
36.0,-0.9917788534431158,7.750470905699148
37.0,-0.6435381333569995,-0.8407712554027598
38.0,0.2963685787093853,0.310309660994801
39.0,0.9637953862840878,3.614554407101535
40.0,0.7451131604793488,-1.117214930923896
41.0,-0.158622668804709,0.16065669868064283
42.0,-0.9165215479156338,2.2913879924374863
43.0,-0.8317747426285983,-1.4983873388551707
44.0,0.017701925105413577,0.017704699278685777
45.0,0.8509035245341184,1.6197751905438615
46.0,0.9017883476488092,-2.086613531121382
47.0,0.123573122745224,-0.12452756813273719
48.0,-0.7682546613236668,1.2001272431162864
49.0,-0.9537526527594719,-3.172908552159191
50.0,-0.26237485370392877,-0.27190061199763077
51.0,0.6702291758433747,0.9030861493754312
52.0,0.9866275920404853,-6.053272382792838
53.0,0.39592515018183416,-0.4311581967195641
54.0,-0.5587890488516163,0.6738001006480598
55.0,-0.9997551733586199,-45.18308791052113
